movieId,budget,revenue,runtime,vote_average,vote_count,release_date,popularity,adult,homepage,original_language,production_companies
1,30000000.0,394436586.0,81.0,8.0,19296.0,1995-11-22,16.5492,False,http://toystory.disney.com/toy-story,en,Pixar
2,65000000.0,262821940.0,104.0,7.242,10971.0,1995-12-15,2.7834,False,http://www.sonypictures.com/movies/jumanji/,en,TriStar Pictures|Interscope Communications|Teitler Film|PolyGram Filmed Entertainment
3,25000000.0,71500000.0,101.0,6.5,409.0,1995-12-22,2.4991,False,unknown,en,Lancaster Gate|Warner Bros. Pictures
4,16000000.0,81452156.0,127.0,6.26,179.0,1995-12-22,5.393,False,unknown,en,20th Century Fox
5,,76594107.0,106.0,6.266,777.0,1995-12-08,3.7707,False,unknown,en,Touchstone Pictures|Sandollar Productions
6,60000000.0,187400000.0,170.0,7.922,7921.0,1995-12-15,12.7552,False,https://www.20thcenturystudios.com/movies/heat,en,Warner Bros. Pictures|Regency Enterprises|Forward Pass
7,58000000.0,53672080.0,127.0,6.2,657.0,1995-12-15,5.4599,False,unknown,en,Paramount Pictures|Constellation Films|Mirage Enterprises|Scott Rudin Productions|Sandollar Productions|Worldwide Productions|Mont Blanc Entertainment GmbH
8,,23920048.0,97.0,5.243,202.0,1995-12-22,2.5513,False,unknown,en,Walt Disney Pictures|Painted Fence Productions
9,35000000.0,64350171.0,110.0,6.005,773.0,1995-10-27,2.008,False,unknown,en,Shattered Productions|Universal Pictures|Imperial Entertainment|Signature Entertainment
10,60000000.0,352194034.0,130.0,6.9,4150.0,1995-11-16,5.5085,False,https://mgm.com/movies/goldeneye,en,EON Productions
11,62000000.0,107879496.0,113.0,6.5,754.0,1995-11-17,4.0526,False,unknown,en,Castle Rock Entertainment|Universal Pictures|Wildwood Enterprises
12,30000000.0,10772144.0,88.0,6.081,1049.0,1995-12-22,4.5775,False,unknown,en,Castle Rock Entertainment|Brooksfilms|Gaumont
13,31000000.0,11348324.0,78.0,7.302,2116.0,1995-12-22,2.3137,False,unknown,en,Amblin Entertainment|Amblimation|Universal Pictures
14,44000000.0,13681765.0,192.0,6.873,385.0,1995-12-22,2.142,False,unknown,en,Cinergi Pictures|Hollywood Pictures|Illusion Entertainment Group
15,102000000.0,16000000.0,124.0,5.787,594.0,1995-12-22,4.3771,False,unknown,en,Carolco Pictures|Forge|Laurence Mark Productions|Beckner/Gorman Productions|Le Studio Canal+|Tele-Communications|RCS Video|Cutthroat Productions L.P.
16,50000000.0,116112375.0,179.0,7.993,6251.0,1995-11-22,7.4111,False,unknown,en,Universal Pictures|Syalis DA|Légende Films|Cappa/De Fina Productions
17,16000000.0,134582776.0,136.0,7.42,1776.0,1995-12-13,7.946,False,unknown,en,Columbia Pictures|Mirage Enterprises|Good Machine
18,4000000.0,4257354.0,98.0,5.874,2759.0,1995-12-09,3.7209,False,https://www.miramax.com/movie/four-rooms/,en,Miramax|A Band Apart
19,30000000.0,212385533.0,90.0,6.321,4372.0,1995-11-10,4.2195,False,unknown,en,Morgan Creek Entertainment
20,68000000.0,77224232.0,110.0,5.851,818.0,1995-11-21,3.2089,False,https://www.sonypictures.com/movies/moneytrain,en,Columbia Pictures|Peters Entertainment
21,30250000.0,115101622.0,105.0,6.507,1136.0,1995-10-20,3.1134,False,unknown,en,Metro-Goldwyn-Mayer|Jersey Films
22,20000000.0,32000000.0,124.0,6.472,1176.0,1995-10-27,5.0365,False,unknown,en,Regency Enterprises
23,50000000.0,30303072.0,132.0,6.493,1643.0,1995-10-06,3.4179,False,https://www.warnerbros.com/movies/assassins,en,Warner Bros. Pictures|Silver Pictures|Donner/Shuler-Donner Productions
24,9500000.0,30900000.0,111.0,7.0,691.0,1995-10-27,5.0849,False,unknown,en,Hollywood Pictures|Caravan Pictures
25,3600000.0,49800000.0,111.0,7.2,1563.0,1995-10-27,2.4322,False,http://www.mgm.com/title_title.do?title_star=LEAVINGL,en,Initial Productions|Lumière Pictures|Lila Cazès Productions
26,11000000.0,2800000.0,123.0,6.334,148.0,1995-12-15,3.1115,False,unknown,en,Castle Rock Entertainment|Dakota Films
27,12000000.0,27400000.0,100.0,6.9,461.0,1995-10-20,1.7681,False,unknown,en,New Line Cinema
28,1500000.0,5269757.0,104.0,7.1,135.0,1995-05-01,4.7411,False,https://web.archive.org/web/20150402132323/http://www.sonypictures.com/movies/persuasion/,en,BBC Film|Millésime Productions|GBH|France 2
29,18000000.0,1738611.0,112.0,7.253,1162.0,1995-05-17,2.2162,False,unknown,fr,Constellation|Lumière Pictures|Le Studio Canal+|France 3 Cinéma|Elías Querejeta PC|Tele München
30,2300000.0,,108.0,6.728,101.0,1995-09-14,1.8464,False,unknown,zh,Alpha Films|La Sept Cinéma|UGC|Shanghai Film Studios
31,23000000.0,179519401.0,99.0,6.961,1216.0,1995-08-11,4.9253,False,unknown,en,Don Simpson/Jerry Bruckheimer Films|Hollywood Pictures|Via Rosa Productions
32,29000000.0,168841459.0,129.0,7.602,8781.0,1995-12-29,6.3221,False,unknown,en,Universal Pictures|Atlas Entertainment|Classico|Twelve Monkeys Productions
33,,,50.0,6.5,21.0,1995-06-16,3.042,False,unknown,fr,Iwerks Entertainment|Sony Pictures Classics
34,30000000.0,254100000.0,92.0,6.251,3027.0,1995-07-18,6.0369,False,unknown,en,Universal Pictures|Kennedy Miller Productions
35,,,121.0,6.142,67.0,1995-05-25,3.5086,False,unknown,en,Cinéa|Freeway Films|Orsans Productions|PolyGram Filmed Entertainment|Euston Films|Le Studio Canal+
36,11000000.0,39363635.0,122.0,7.32,1433.0,1995-12-29,7.0372,False,unknown,en,Havoc|PolyGram Filmed Entertainment|Working Title Films|PolyGram Video|Gramercy Pictures
37,,16015639.0,51.0,5.2,5.0,1995-10-20,0.1666,False,unknown,en,Sony New Technologies|Columbia Pictures|Sony Pictures Classics
38,19474589.0,19474589.0,101.0,6.513,934.0,1995-11-17,4.3071,False,unknown,en,Dualstar Productions|Orr & Cruickshank|Rysher Entertainment
